	A11118	Adler	Adler Planetarium, Illinois
	A11135	ASTRA	Atmospheric & Space Technology Research Associates (ASTRA)
	A11151	Palmer Div	Palmer Divide Observatory, Colorado
	A11200	Malin	Malin Space Science Systems, California
	A11206	SRI Stanford	Stanford Research Institute, California
	A11245	Belgium Ast Ass	Belgium Astronomical Association
	A11247	Euro Ctr Geod Seis	European Center for Geodynamics and Seismology, Luxembourg
	A11257	Ctr Faibles Radio	Centre des Faibles Radioactivites
	A11269	Obs Blauvac	Observatoire de Blauvac, France
	A11271	VdS	Vereinigung der Sternfreunde, Germany
	A11280	EDIMAR	La Salle Foundation for Natural Sciences, Marine Research, Venezuela
	A11285	SPACE X	SPACE X Exploration Institute, Switzerland
	A11290	ISSI	International Space Science Institute, Switzerland
	A11297	Swiss Fed Obs	Swiss Federal Observatory, Zurich, Switzerland
	A11302	Norweg Geo Soc	Norwegian Geological Society
	A11304	EISCAT	European Incoherent Scatter Scientific Association, Norway
	A11306	Atalaia Crow	Atalaia Group Crow Observatory, Portugal
	A11307	NUCLIO	Interactive Nucleus of Astronomy, Portugal
	A11312	ASTER	Amateur Astronomers Association of Barcelona, Spain
	A11313	Fabra Barc	Fabra Observatory, Barcelona, Spain
	A11314	Duran Barc	Esteve Duran Observatory, Barcelona, Spain
	A11315	Gualba Barc	Gualba Observatory, Barcelona, Spain
	A11327	Ryl Span Nav Obs	Royal Spanish Naval Observatory
	A11330	Catalan Phy Soc	Catalan Physics Society, Spain
	A11335	FRACTAL SNLE	FRACTAL, SNLE
	A11338	Ast Soc Croatia	Astronomical Society of Croatia
	A11341	Ast Soc Slovenia	Astronomical Society of Slovenia
	A11350	Hung Ast Ass	Hungarian Astronomical Association
	A11351	Bolyai Mil U	Bolyai Military University, Hungary
	A11357	Bucharest Astroclub	Bucharest Astroclub, Romania
	A11363	Stefaniks Obs	Stefaniks Observatory, Prague, Czech Republic
	A11365	Copernicus Obs	Copernicus Observatory, Brno, Czech Republic
	A11367	Upice Obs	Upice Observatory, Czech Republic
	A11371	Polish Soc Am Ast	Polish Society of Amateur Astronomers
	A11372	Olsztyn Ast Obs	Olsztyn Astronomical Observatory, Poland
	A11374	Chorzow Ast Obs	Chorzow Astronomical Observatory, Poland
	A11381	Obs Cantonal	Observatoire Cantonal de Neuchatel, Switzerland
	A11390	EGO	European Gravitational Observatory, Pisa, Italy
	A11412	Ast Obs Aosta	Astronomical Observatory of Aosta, Italy
	A11413	Talmassons Obs	Talmassons Observatory, Italy
	A11414	Geo Obs Coldigioco	Geological Observatory of Coldigioco, Italy
	A11415	Campo Catino Ast Obs	Campo Catino Astronomical Observatory, Italy
	A11419	ISI Turin	Institute for Scientific Interchange, Italy
	A11420	Bellatrix Ast Obs	Bellatrix Astronomical Observatory, Italy
	A11430	Hellenic Mil Ac	Hellenic Military Academy, Greece
	A11433	Cyprus Coll	Cyprus College, Nicosia
	A11441	Odessa Natl Mar U	Odessa National Maritime University, Ukraine
	A11451	Belarus St U	Belarus State University, Minsk
	A11453	Ast Geod Soc Minsk	Astronomical Geodesical Society of Minsk, Belarus
	A11458	Samarkand St U	Samarkand State University, Uzbekistan
	A11466	EAAS	Eurasian Astronomical Society, Moscow, Russia
	A11468	Khrunichev Sp Ctr	Khrunichev State Research and Production Space Center, Moscow, Russia
	A11469	Korolev Energia	Korolev Energia Space Rocket Corporation, Moscow, Russia
	A11470	SCSE Moscow	State Committee of Standards, Moscow, Russia
	A11471	CAO Dolgoprudnyi	Central Aerological Observatory, Dolgoprudnyi, Russia
	A11472	Rostov St Ped U	Rostov State Pedagogical University, Russia
	A11484	AdW Potsdam	German Academy of Sciences, Potsdam
	A11487	IMO	International Meteor Organization
	A11489	Archenhold Obs	Archenhold Observatory, Berlin, Germany
	A11490	BAV	West German Variable Star Observers
	A11491	Max Born Inst	Max Born Institute for Nonlinear Optics, Berlin, Germany
	A11508	M Adrian Obs	Michael Adrian Observatory, Germany
	A11517	Geo Surv IR	Geological Survey of Iran
	A11518	ISRC Baghdad	Iranian Space Research Center, Baghdad, Iran
	A11519	Nepal Ast Soc	Nepal Astronomical Society
	A11521	PAGASA	Philippine Atmospheric Geophysical and Astronomical Services Administration
	A11524	CVGHM	Center for Volcanology and Geohazards, Indonesia
	A11525	BAKOSURTANAL	BAKOSURTANAL, Indonesia
	A11534	ThEP	Thailand Centre of Excellence in Physics
	A11535	INST	VATLY Institute for Nuclear Science and Technology, Vietnam
	A11543	Nikola Tesla U	Nikola Tesla University, Serbia
	A11546	Assam Sci Soc	Assam Science Society, India
	A11548	Gov New Sci Coll	Government New Science College, India
	A11559	Rad Res Lab Korea	Radio Research Laboratory, Korea
	A11561	Korea Ast Obs	Korea Astronomy Observatory
	A11573	Beijing Plan	Beijing Planetarium, China
	A11577	Var Star Obs League	Variable Star Observers League of Japan
	A11598	Kobe Sci Mus	Kobe Science Museum, Japan
	A11615	Japan SpGuard Ass	Japan Spaceguard Association
	A11630	JSUP	Japan Space Utilization Promotion Center
	A11640	Gunma Ast Obs	Gunma Astronomical Observatory, Japan
	A11643	Toyoma Sci Mus	Toyoma Science Museum, Japan
	A11644	GRI Osaka	Geo Research Institute, Osaka, Japan
	A11645	Osaka Sci Mus	Osaka Science Museum, Osaka, Japan
	A11646	ALPO	Association for Lunar and Planetary Observers, Japan
	A11647	Misato Ast Obs	Misato Astronomical Observatory, Japan
	A11648	Hamanowa Ast Obs	Hamanowa Astronomical Observatory, Japan
	A11649	Itagaki Ast Obs	Itagaki Astronomical Observatory, Japan
	A11654	Ryl Ast Soc NZ	Royal Astronomical Society of New Zealand
	A11655	DSIR NZ	Department of Scientific and Industrial Research, New Zealand
	A11656	Carter Obs	Carter Observatory, New Zealand
	A11657	Auckland Obs	Auckland Observatory, New Zealand
	A11664	Austr At Ener Comm	Australian Atomic Energy Commission
	A11678	Perth Obs	Perth Observatory, Australia
	A11680	Sydney Obs Mus	Sydney Observatory Museum, Australia
	A11681	Hunters Hill Obs	Hunters Hill Observatory, Australia
	A11682	AGSO	Australian Geological Survey Organization
	A11683	Mars Soc	Mars Society, Australia
	A11684	Austr Bur Min Res	Australian Bureau of Mineral Resources
	A11685	Austr Mus Sydney	Australian Museum Sydney
	A11690	SKA	Square Kilometre Array, South Africa
	A11696	IRGM Cameroon	Centre for Hydrologic Research, Cameroon
	A11697	MVO BWI	Montserrat Volcano Observatory, BWI
	A11699	INETER	National Institute for Territorial Studies, Nicaragua
	A11700	Supernova	Supernova Ltd, British Virgin Islands
	A11709	Rosario Plan Ast Obs	Rosario Planetarium and Astronomical Observatory, Argentina
	A11716	SPACE San Pedro	San Pedro de Atacama Celestial Explorations, Chile
	A11739	Armagh Obs	Armagh Observatory, Ireland
	A11750	Can Ctr Rem Sen	Canadian Centre for Remote Sensing
	A11751	CERCA	Centre de Recherche en Calcul Applique
	A11752	SNOLAB	Sudbury Neutrino Laboratory, Canada
	A11756	Scot U Res React Ctr	Scottish Universities Research and Reactor Centre
	A11786	NIT Nagano	National Institute of Technology, Nagano College, Japan
	A11800	ERIM	Environmental Research Institute of Michigan
	A11804	AS&E	American Science and Engineering, Cambridge, Massachusetts
	A11810	Interferometrics	Interferometrics, Inc., Herndon, Virginia
	A11811	Comp Phy Inc	Computational Physics, Inc., Springfield, Virginia
	A11812	Eureka Sci	Eureka Scientific, Oakland, California
	A13003	FINCA	Finnish Center for Astronomy
	A13005	Swedish Sp	Swedish Space Corporation
	A13022	Uppsala Iono Obs	Uppsala Ionospheric Observatory, Sweden
	A13023	Icarus Res	Icarus Research Inc., Bethesda, Maryland
	A13024	GATS	GATS Inc.
	A13025	JPRS	Joint Publications Research Institute, Virginia
	A13026	ASP	Astronomical Society of the Pacific
	A13027	MPDS	Materials Phases Data System, Villars, Switzerland
	A13028	GII	Geophysical Institute of Israel
	A13029	NILOP	National Institute of Lasers and Optronics, Islamabad, Pakistan
	A13031	Fermi Res Ctr	Enrico Fermi Research Center, Rome, Italy
	A13040	INIC	Instituto Nacional de Investigacao Cientifica, Lisbon, Portugal
	A13045	ARC	Applied Research Corporation, Landover, Maryland
	A13046	ADNET	ADNET Systems Inc., Greenbelt, Maryland
	A13047	EITI	Emergent Information Technology Inc., Greenbelt, Maryland
	A13052	Hyd Svc Israel	Hydrological Service, Israel
	A13055	ORSTOM	Office of Scientific and Technical Research Overseas, France
	A13067	Laser Lab	Laser Lab eV, Gottingen, Germany
	A13070	SCCSP Ukrain	Scientific Consulting Company Structure-Properties, Ukraine
	A13071	MRI Global	Midwest Research Institute, Colorado
	A13072	NINT	Northwest Institute of Nuclear Technology, China
	A13074	COMSAT	Communications Satellite Corporation
	A13078	Praxis	Praxis, Inc., Alexandria, Virginia
	A13079	Artep	Artep, Inc., Washington, DC
	A13080	Yamaguchi Jr Coll	Yamaguchi Junior College, Japan
	A11146	SSI	Space Science Institute, Colorado
A11146	A11147	CICLOPS	Space Science Institute, Cassini Imaging Central Laboratory for Operations, Boulder, Colorado
	A11344	INI	Isaac Newton Institute, Chile
A11344	A11343	Belgrade	Isaac Newton Institute of Chile, Belgrade
A11344	A11440	Crimean Branch	Isaac Newton Institute of Chile, Crimean Branch
A11344	A11462	Russia	Isaac Newton Institute of Chile, Russia
	A00001	Aalborg U	Aalborg University, Denmark
	A00002	Aarhus U	Aarhus University, Denmark
A00002	A00003	Inst Phy Ast	Aarhus University, Institute for Physics and Astronomy
A00002	A00004	Inst Geos	Aarhus University, Institute for Geoscience
	A00005	U Fraser Vall	University College of the Fraser Valley, Canada
	A00006	Robert Gordon U	Robert Gordon University, UK
	A00007	U Aberdeen	University of Aberdeen, UK
A00007	A11755	SUPA	Scottish Universities Physics Alliance
	A00008	US Army	United States Army
A00008	A00009	CRREL	Cold Regions Research and Engineering Laboratory
A00008	A00010	ARL Monmouth	Army Research Laboratory, Fort Monmouth, New Jersey
A00008	A00011	Res Off	U.S. Army Research Office, Research Triangle Park, North Carolina
A00008	A00012	White Sands	U.S. Army White Sands Missile Range, New Mexico
A00008	A00013	USACE	Army Corps of Engineers
A00008	A00014	ARL Aberdeen	Army Research Laboratory, Aberdeen Proving Ground, MD
A00008	A00015	ARDEC	Armament Research Development Engineering Center, Picatinny, New Jersey
A00008	A00037	ARL Adelphi	Army Research Laboratory, Adelphi, MD
	A00016	Aberystwyth U	Aberystwyth University, UK
A00016	A00017	Inst Geog Ear Sci	Aberystwyth University, Institute of Geography and Earth Sciences
A00016	A00018	Inst Math Phy	Aberystwyth University, Institute of Mathematics and Physics
	A00019	Hardin-Simmons U	Hardin-Simmons University, Texas
	A00020	McMurry U	McMurry University, Texas
	A00021	Abo Akademi U	Abo Akademi University, Finland
A00021	A06362	Turku Bios Ctr	Turku Bioscience Center, Finland
	A00022	OH Nrthn U	Ohio Northern University
